rectangle_type,num_points,computed_area,relative_error
narrow,93600,0.948192,0.00389055
wide,94100,0.951447,0.00733674
narrow,94100,0.946424,0.00201862
wide,94600,0.945699,0.0012509
narrow,94600,0.943887,0.000667095
wide,95100,0.937966,0.00693567
narrow,95100,0.949807,0.00560004
wide,95600,0.94323,0.00136254
narrow,95600,0.950887,0.00674402
wide,96100,0.934681,0.0104143
narrow,96100,0.946164,0.00174355
wide,96600,0.9232,0.022569
narrow,96600,0.943417,0.0011644
wide,97100,0.946481,0.00207967
narrow,97100,0.946977,0.00260402
wide,97600,0.946713,0.00232471
narrow,97600,0.945017,0.0005294
wide,98100,0.951798,0.00770861
narrow,98100,0.94128,0.00342786
wide,98600,0.939478,0.00533541
narrow,98600,0.941516,0.00317789
wide,99100,0.942979,0.00162906
narrow,99100,0.947347,0.00299553
wide,99600,0.94498,0.000489896
narrow,99600,0.947983,0.00366912
